Src_IP_dec,Src_Port,Dst_IP_dec,Dst_Port,Protocol,Timestamp,Flow_Duration,Total_Fwd_Packet,Total_Bwd_packets,Total_Length_of_Fwd_Packet,Total_Length_of_Bwd_Packet,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes_per_s,Flow_Packets_per_s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_RST_Flags,Bwd_RST_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets_per_s,Bwd_Packets_per_s,Packet_Length_Min,Packet_Length_Max,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWR_Flag_Count,ECE_Flag_Count,Down_per_Up_Ratio,Average_Packet_Size,Fwd_Segment_Size_Avg,Bwd_Segment_Size_Avg,Fwd_Bytes_per_Bulk_Avg,Fwd_Packet_per_Bulk_Avg,Fwd_Bulk_Rate_Avg,Bwd_Bytes_per_Bulk_Avg,Bwd_Packet_per_Bulk_Avg,Bwd_Bulk_Rate_Avg,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,FWD_Init_Win_Bytes,Bwd_Init_Win_Bytes,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,ICMP_Code,ICMP_Type,Total_TCP_Flow_Time,Label,Attempted_Category
3232238089,6246,1746170386,80,6,01:03.1,46577648,12,14,720,8586,361,0,60.0,139.2022727,2432,0,613.2857143,885.3868714,199.795404,0.558207662,1863105.92,3815058.53,10072222,20,46562605,4232964.091,4899785.896,10072222,110,46562499,3581730.692,4748319.454,10087257,50,2,2,0,0,0,0,252,340,0.257634306,0.300573357,0,2432,357.9230769,703.7618303,495280.7138,2,2,0,4,25,0,0,0,1.166666667,357.9230769,60.0,613.2857143,0,0,0,0,0,0,0,27,0,330,8192,31,6,20,124566.8,244767.9617,562421,14984,9187917.0,1863217.184,10072222,5855312,-1,-1,46577648,BENIGN,-1
3232238095,55682,520962311,443,6,14:59.6,6063403,7,5,123,123,46,0,17.57142857,22.47856121,46,0,24.6,23.27659769,40.57127656,1.979086661,551218.4545,1755638.76,5844223,4,6013246,1002207.667,2372284.853,5844223,11,6013177,1503294.25,2946179.208,5922094,4,3,3,0,0,1,1,140,100,1.154467219,0.824619442,0,46,20.5,22.03922124,485.7272727,1,0,2,6,11,0,0,0,0.714285714,20.5,17.57142857,24.6,0,0,0,0,0,0,0,10,0,10,255,0,2,20,77875.0,0.0,77875,77875,5844223.0,0.0,5844223,5844223,-1,-1,181244150,BENIGN,-1
3232238095,51303,2560833538,443,6,56:41.8,2302745,10,10,993,3591,405,0,99.3,157.2125596,1460,0,359.1,592.3927845,1990.66766,8.685286473,121197.1053,324089.1449,1358899,1,2302745,255860.5556,445739.8569,1358899,3,2274182,252686.8889,482011.3316,1439343,1,4,5,0,0,0,0,212,212,4.342643237,4.342643237,0,1460,229.2,442.3790468,195699.2211,2,2,0,9,19,0,0,0,1.0,229.2,99.3,359.1,0,0,0,0,0,0,0,49,0,179,8192,5120,4,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,2302745,BENIGN,-1
3232238096,50010,2899905070,80,6,55:51.5,115775673,17,15,435,746,435,0,25.58823529,105.5029969,746,0,49.73333333,192.6163718,10.20076126,0.276396579,3734699.129,4894022.816,10203777,47,115775673,7235979.562,4624899.398,10240011,26124,115739252,8267089.429,3946747.284,10240237,20205,1,1,0,0,0,0,552,488,0.146835683,0.129560897,0,746,36.90625,150.4996751,22650.15222,2,2,0,2,31,0,0,0,0.882352941,36.90625,25.58823529,49.73333333,0,0,0,0,0,0,0,13,0,23,29200,340,1,32,43964.72727,25037.26181,119454,36209,10182790.36,60274.41783,10203777,10002809,-1,-1,115775673,BENIGN,-1
3232238096,43998,910673203,443,6,14:20.0,5319075,11,7,358,3055,201,0,32.54545455,67.51794374,1525,0,436.4285714,717.9370579,641.652919,3.384047038,312886.7647,1188920.954,4924359,3,5319075,531907.5,1544131.24,4924359,3,5232194,872032.3333,2048463.094,5052514,3,3,3,0,0,2,0,336,232,2.068028746,1.316018293,0,1525,189.6111111,475.0223696,225646.2516,2,2,2,6,15,0,0,0,0.636363636,189.6111111,32.54545455,436.4285714,0,0,0,0,0,0,0,19,0,169,29200,119,3,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,5319075,BENIGN,-1
3232238092,16110,3232238083,53,17,42:58.5,214,2,2,60,162,30,30,30.0,0.0,81,81,81.0,0.0,1037383.178,18691.58879,71.33333333,84.45314283,165,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,0,0,16,16,9345.794393,9345.794393,30,81,55.5,29.44486373,867.0,0,0,0,0,0,0,0,0,1.0,55.5,30.0,81.0,0,0,0,0,0,0,0,15,0,40,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
3232238095,57142,3232238083,53,17,56:57.2,209909,4,2,176,288,44,44,44.0,0.0,144,144,144.0,0.0,2210.481685,28.58381489,41981.8,63893.11571,144446,3,65460,21820.0,37740.52513,65399,13,3,3.0,0.0,3,3,0,0,0,0,0,0,32,16,19.05587659,9.527938297,44,144,77.33333333,51.63977795,2666.666667,0,0,0,0,0,0,0,0,0.5,77.33333333,44.0,144.0,176,4,2688,0,0,0,0,29,0,48,0,0,3,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
2886729729,41041,3232238130,6059,6,23:10.9,36,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,55555.55556,36.0,0.0,36,36,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,27777.77778,27777.77778,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,36,Portscan,-1
2886729729,40020,3232238130,427,6,54:49.4,72,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,27777.77778,72.0,0.0,72,72,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,13888.88889,13888.88889,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,72,Portscan,-1
2886729729,56530,3232238130,80,6,09:26.2,4639872,9,5,20,11595,20,0,2.222222222,6.666666667,8760,0,2319.0,3804.143136,2503.301815,3.017324616,356913.2308,1016810.159,3609962,1,4639872,579984.0,1275779.509,3609962,1,1017564,254391.0,507304.822,1015347,2,1,1,0,0,1,0,192,112,1.939708682,1.077615934,0,8760,829.6428571,2404.14583,5779917.17,1,2,1,2,13,0,0,0,0.555555556,829.6428571,2.222222222,2319.0,0,0,0,0,0,0,0,1,0,828,8192,229,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,4639872,DDoS,-1
